ID,Length,Masker,Onset,SNR,Speaker,Target,Raw,Responses,N-Listeners,Counts,Confusion,Consistency,Target-Arpabet,Target-IPA,Target-frequency,Confusion-Arpabet,Confusion-IPA,Confusion-frequency,Phoneme-distance
3784,11520,SSN,104656,-6.982,s3,jointly,drink|drink|drink|drinking|dream|jointly|join|drink|drink|drink|jointly|drink|drink|drink|enjoyment,drink|jointly|join|enjoyment|drinking|dream,15,9 2 1 1 1 1,drink,9,! JH OY N T . L IY,! dʒ ɔɪ n t . l i,3.1,! D R IH NG K,! d ɹ ɪ ŋ k,5.06,57
3786,9172,SSN,455143,-6.173,s3,buyer,fire|buyer|fire|fire|pie|fire|fire|quiet|fire|fire|buyer|fire|final|prior|fire,fire|buyer|quiet|pie|prior|final,15,9 2 1 1 1 1,fire,9,! B AY . AX,! b aɪ . ə,4.13,! F AY . AX,! f aɪ . ə,5.18,10
3787,13280,SSN,658770,-6.2,s3,sleek,sleek|sleep|sleep|sleek|sleep|sleek|sleep|sleep|sleep|sleep|sleek|sleek|sleep|sleep|sleep,sleep|sleek,15,10 5,sleep,10,! S L IY K,! s l i k,3.29,! S L IY P,! s l i p,4.94,10
3791,14898,SSN,826266,-5.132,s3,perverse,perverse|averse|traverse|reverse|reverse|perverse|perverse|averse|reverse|reverse|reverse|reverse|averse|reverse|reverse,reverse|perverse|averse|traverse,15,8 3 3 1,reverse,8,P AX ! V ER S,p ə ! v ɜ s,3.13,R AX ! V ER S,ɹ ə ! v ɜ s,4.15,20
3804,11876,SSN,496159,-5.623,s3,because,curse|because|coat|coast|reverse|coast|coast|coast|coast|coast|coast|curse|coast|coat|because,coast|coat|because|curse|reverse,15,8 2 2 2 1,coast,8,B IH ! K OH Z,b ɪ ! k ɒ z,6.22,! K OW S T,! k oʊ s t,4.86,41
3805,12960,SSN,102704,-6.534,s3,remote,remember|remember|remote|remote|women|flamingo|remote|remember|remember|remembered|remember|remember|remote|woman|remember,remember|remote|woman|remembered|flamingo|women,15,7 4 1 1 1 1,remember,7,R IH ! M OW T,ɹ ɪ ! m oʊ t,4.32,R IH ! M EH M . B AX,ɹ ɪ ! m e m . b ə,5.52,34
3848,10818,BAB4,521819,-2.165,s3,barber,harbour|arbour|barbaric|harder|reports|harbour|arbour|arbour|barber|harbour|harbour|forest|harbour|harbour,harbour|arbour|harder|reports|barbaric|barber|forest,14,6 3 1 1 1 1 1,harbour,6,! B AA . B AX,! b ɑ . b ə,3.63,! HH AA . B AX,! h ɑ . b ə,4.12,10
3884,9440,BMN3,281850,-3.348,s2,childish,children|children|children|choir|children|children|children|children|children|children|children|children|children|children|children,children|choir,15,14 1,children,14,! CH AY L . D IH SH,! tʃ aɪ l . d ɪ ʃ,3.42,! CH IH L . D R AX N,! tʃ ɪ l . d ɹ ə n,5.53,37
3891,11680,BMN3,787862,-7.67,s2,radius,radio|gradient|radio|radius|radiant|radio|raiding|radius|rabies|radius|rating|radio|radio|radio|radio,radio|radius|rating|rabies|gradient|radiant|raiding,15,7 3 1 1 1 1 1,radio,7,! R EY . D IA S,! ɹ eɪ . d ɪə s,3.33,! R EY . D IY . OW,! ɹ eɪ . d i . oʊ,4.82,20
3892,13280,BMN3,856391,-7.311,s2,stance,stars|stance|stars|stars|staff|stance|stars|stance|scarce|stars|sparse|stars|stars|start|stance,stars|stance|sparse|start|scarce|staff,15,7 4 1 1 1 1,stars,7,! S T AA N S,! s t ɑ n s,3.74,! S T AA Z,! s t ɑ z,4.8,17
3895,8960,BMN3,217342,-4.318,s2,guest,guess|guess|gift|guess|yes|guess|kiss|guess|guess|guess|kiss|gift|guess|guess|guess,guess|kiss|gift|yes,15,10 2 2 1,guess,10,! G EH S T,! ɡ e s t,4.58,! G EH S,! ɡ e s,5.16,7
3900,10080,BMN3,195346,-3.681,s2,fame,vein|vain|vain|rain|vein|vain|thing|fame|fame|vain|fame|fame|vein|vain|fame,vain|fame|thing|rain,15,8 5 1 1,vain,8,! F EY M,! f eɪ m,4.18,! V EY N,! v eɪ n,3.67,20
3902,11840,BMN3,305352,-7.267,s2,bedside,inside|exile|entire|inside|inside|inside|inside|inside|inside|exile|inside|inside|inside|inside|sign,inside|exile|entire|sign,15,11 2 1 1,inside,11,! B EH D . S AY D,! b e d . s aɪ d,3.45,IH N ! S AY D,ɪ n ! s aɪ d,5.36,27
3912,5760,BMN3,734433,-3.786,s2,drug,drunk|drunk|drunk|car|cup|clock|truck|drunk|car|car|truck|drunk|drunk|cup|come,drunk|car|cup|truck|come|clock,15,6 3 2 2 1 1,drunk,6,! D R AH G,! d ɹ ʌ ɡ,4.5,! D R AH NG K,! d ɹ ʌ ŋ k,4.46,17
3916,10080,BMN3,24595,-7.487,s2,acute,cute|cute|computer|equipped|cute|acute|cute|acute|cute|compute|huge|cute|cute|commute|cute,cute|acute|compute|huge|commute|equipped|computer,15,8 2 1 1 1 1 1,cute,8,AX ! K Y UW T,ə ! k j u t,3.66,! K Y UW T,! k j u t,4.4,7
3921,11840,BMN3,380970,-7.707,s2,insight,inside|inside|inside|inside|inside|inside|inside|inside|inside|inside|inside|inside|inside|inside|excite,inside|excite,15,14 1,inside,14,! IH N . S AY T,! ɪ n . s aɪ t,3.93,IH N ! S AY D,ɪ n ! s aɪ d,5.36,10
3923,10780,BMN3,263273,-3.936,s2,class,glass|glass|mask|class|glass|class|class|glass|glass|glass|glass|glass|glass|glass|glass,glass|class|mask,15,11 3 1,glass,11,! K L AA S,! k l ɑ s,5.01,! G L AA S,! ɡ l ɑ s,4.92,10
3951,12000,BAB4,52954,-2.053,s1,formal,train|form|fire|crane|flight|train|thorn|form|form|from|form|form|film|for|form,form|train|flight|for|fire|thorn|from|crane|film,15,6 2 1 1 1 1 1 1 1,form,6,! F AO . M L,! f ɔ . m l,4.17,! F AO M,! f ɔ m,5.08,7
3992,10574,BAB4,213729,-2.172,s4,gross,dish|dish|dish|regress|dish|dip|proceed|prestige|dick|red|dish|dish|dish|decorate|health,dish|proceed|dick|regress|health|decorate|prestige|dip|red,15,7 1 1 1 1 1 1 1 1,dish,7,! G R OW S,! ɡ ɹ oʊ s,4.04,! D IH SH,! d ɪ ʃ,4.94,37
3995,10400,BAB4,734047,-0.098,s4,humble,humble|tumble|suggest|jack|tumble|tumble|suggest|tumble|suggest|pummel|roll|tonne|tumble|suggest|tumble,tumble|suggest|tonne|humble|pummelled|jack|roll,15,6 4 1 1 1 1 1,tumble,6,! HH AH M . B L,! h ʌ m . b l,4.02,! T AH M . B L,! t ʌ m . b l,4.5,10
3997,9440,BAB4,743925,-1.381,s4,modern,suggest|suggest|suggest|suggest|suggest|suggest|suggest|suggest|suggest|modest|modest|suggest|suggest|suggest|modern,suggest|modest|modern,15,12 2 1,suggest,12,! M OH . D N,! m ɒ . d n,5.02,S AX ! JH EH S T,s ə ! dʒ e s t,4.63,54
3998,10080,BAB4,544813,-2.942,s4,finished,finish|finish|lily|finish|mini|night|finish|finished|minute|minute|finished|finish|finish|rage|finish,finish|finished|minute|mini|rage|night|lily,15,7 2 2 1 1 1 1,finish,7,! F IH . N IH SH T,! f ɪ . n ɪ ʃ t,5.05,! F IH . N IH SH,! f ɪ . n ɪ ʃ,5.06,7
3999,11520,BAB4,58938,-2.471,s4,caution,cautious|flex|cautious|fly|caution|cautious|flex|cautious|threat|cautious|cautious|cautious|caution|cautious|cautious,cautious|flex|caution|fly|threat,15,9 2 2 1 1,cautious,9,! K AO . SH N,! k ɔ . ʃ n,3.81,! K AO . SH AX S,! k ɔ . ʃ ə s,3.95,17
4003,12000,BAB4,571582,-0.912,s4,hearing,peasant|peasant|peasant|hassle|peering|computer|peasant|peasant|peasant|peasant|peasant|peasant|hazard|person|peasant,peasant|computer|peering|hazard|person|hassle,15,10 1 1 1 1 1,peasant,10,! HH IA . R IH NG,! h ɪə . ɹ ɪ ŋ,4.65,! P EH . S N T,! p e . s n t,3.43,50
4009,11040,BAB4,787330,-0.104,s4,chess,chest|chest|chess|chess|chef|chess|chest|chest|chess|chest|chess|chest|chest|chests|chest,chest|chess|chef|chests,15,8 5 1 1,chest,8,! CH EH S,! tʃ e s,3.91,! CH EH S T,! tʃ e s t,4.48,7
4010,10400,BAB4,446493,-0.218,s4,neat,neat|meet|meat|meet|meat|neat|sleet|meat|neat|meet|neat|meet|neat|meat|meet,meet|neat|sleet,15,9 5 1,meet,9,! N IY T,! n i t,4.0,! M IY T,! m i t,5.41,10
4015,12960,BAB4,743363,-0.579,s4,received,suggest|suggest|suggest|feast|ceased|deceased|suggest|diseased|suggest|pleased|appeased|suggest|suggest|suggest|succeed,suggest|appeased|feast|ceased|diseased|succeed|pleased|deceased,15,8 1 1 1 1 1 1 1,suggest,8,R IH ! S IY V D,ɹ ɪ ! s i v d,4.65,S AX ! JH EH S T,s ə ! dʒ e s t,4.63,58
4017,12480,BAB4,549880,-1.995,s4,marked,mask|marks|marks|might|depend|force|marks|ma|marks|marks|marks|marks|marks|mind|marks,marks|force|ma|mind|mask|depend|might,15,9 1 1 1 1 1 1,marks,9,! M AA K T,! m ɑ k t,4.25,! M AA K S,! m ɑ k s,4.53,10
4018,6400,BAB4,783406,-2.869,s4,dead,day|day|day|free|debt|shave|trail|day|stare|day|save|stave|dead|day|day,day|shave|stare|debt|stave|free|trail|dead|save,15,7 1 1 1 1 1 1 1 1,day,7,! D EH D,! d e d,5.15,! D EY,! d eɪ,5.99,17
